,industry_x,pe,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,labels_result,index,code,name,industry_y
152,58,19.72,0.77,0.888,2.97,11.81,20040809,9.2,1.05,313.63,1186.48,67.41,36.5,207000.0,5,002030,002030,达安基因,生物制药
153,9,18.79,4.66,0.84,9.19,2.73,20200526,7.31,3.16,0.0,0.0,34.51,20.51,21800.0,7,603950,603950,长源东谷,汽车配件
154,59,21.42,3.28,0.196,5.45,1.54,19990712,13.96,0.75,4.62,96.38,11.79,3.93,166637.0,12,000930,000930,中粮科技,农业综合
155,32,5.37,0.29,0.473,6.38,0.8,20090729,2095.45,4.99,6.24,-2.31,10.96,2.72,580547.0,4,601668,601668,中国建筑,建筑工程
156,52,15.29,0.97,0.45899999999999996,5.79,2.43,20170117,8.6,3.46,-11.56,-7.85,16.87,14.24,12711.0,12,603165,603165,荣晟环保,造纸
157,9,16.72,3.0,0.37200000000000005,7.25,1.72,20170510,4.6,2.87,-10.63,1.25,25.94,8.97,11478.0,7,603926,603926,铁流股份,汽车配件
158,6,12.38,2.01,0.363,4.08,2.21,20110520,6.72,1.07,4.63,731.0,25.0,26.0,36989.0,1,601208,601208,东材科技,化工原料
159,60,12.97,2.37,0.21,6.11,0.89,19930524,28.95,2.59,150.42,38.06,56.65,18.33,25106.0,8,600658,600658,电子城,园区开发
160,26,20.47,1.14,0.08900000000000001,2.8,1.3,19960703,4.25,0.48,-35.66,-8.45,19.78,4.08,46600.0,3,000407,000407,胜利股份,供气供热
161,41,17.71,1.85,0.259,3.69,2.49,19970226,5.92,0.67,7.87,179.54,21.15,11.43,182299.0,3,600789,600789,鲁抗医药,化学制药
162,42,14.64,1.87,0.26,4.56,1.61,20150610,5.96,1.45,-18.55,-45.92,66.72,9.81,17383.0,8,002763,002763,汇洁股份,服饰
163,3,21.81,4.26,0.17,4.3,1.72,20091030,-5.19,-1.08,-24.43,1035.3,20.09,35.41,19154.0,1,300004,300004,南风股份,电气设备
164,56,19.96,2.63,0.14,4.92,1.14,20110610,20.45,1.36,-29.35,-45.1,18.72,1.66,70717.0,12,002589,002589,瑞康医药,医药商业
165,2,17.77,0.59,0.105,2.61,1.43,20110506,9.2,0.93,52.63,303.3,28.6,12.42,49745.0,1,601218,601218,吉鑫科技,机械基件
166,61,22.62,0.72,0.09,2.28,1.64,20080123,6.68,0.55,-19.34,-36.79,17.61,6.31,33000.0,12,002206,002206,海 利 得,化纤
167,46,18.61,1.36,0.45299999999999996,7.53,2.24,20020823,67.5,4.46,-8.43,-23.65,31.64,7.95,82957.0,12,600535,600535,天士力,中成药
